commonName,lat,lon
"Rifle Place, Avondale",51.509224,-0.21601599999999999
"Binfield Road, Stockwell",51.472509,-0.122831
"Tallis Street, Temple",51.511891,-0.107349
"Hurlingham Park, Parsons Green",51.470131,-0.20464000000000002
"Little Brook Green, Brook Green",51.496664,-0.22386799999999998
"Abyssinia Close, Clapham Junction",51.460333,-0.16702899999999998
"Limburg Road, Clapham Junction",51.461923,-0.165297
"Houndsditch, Aldgate",51.514449,-0.077178
"Imperial Wharf Station, Sands End",51.474665,-0.183165
"Victoria & Albert Museum, South Kensington",51.495898,-0.173009
"Sancroft Street, Vauxhall",51.489479,-0.115156
"Devonshire Square, Liverpool Street",51.516468,-0.07968399999999999
"Bayley Street , Bloomsbury",51.518587,-0.132053
"Tavistock Place, Bloomsbury",51.52625,-0.123509
"Harrington Square 1, Camden Town",51.533019,-0.139174
"Walnut Tree Walk, Vauxhall",51.493686,-0.111014
"Borough Road, Elephant & Castle",51.498898,-0.10044
"Cloudesley Road, Angel",51.534408,-0.109025
"Bricklayers Arms, Borough",51.495061,-0.085814
"Aldersgate Street, Barbican",51.520841,-0.09734000000000001
"Falkirk Street, Hoxton",51.53095,-0.07850499999999999
"Gloucester Road (North), Kensington",51.497924,-0.183834
"Hampstead Road, Euston",51.525542,-0.138231
"Old Quebec Street, Marylebone",51.514577,-0.158264
"Albert Embankment, Vauxhall",51.490435,-0.122806
"Queen Street 1, Bank",51.511553,-0.09294000000000001
"Jewry Street, Aldgate",51.513406,-0.076793
"Vicarage Gate, Kensington",51.504723,-0.192538
"Crosswall, Tower",51.511594,-0.077121
"Westbourne Grove, Bayswater",51.515529,-0.19024000000000002
"Woodstock Street, Mayfair",51.514105,-0.147301
"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317
"Abbey Orchard Street, Westminster",51.498125,-0.132102
"Soho Square , Soho",51.515631,-0.132328
"Wellington Road, St. John's Wood",51.533043,-0.172528
"Park Lane , Hyde Park",51.510017,-0.157275
"Stonecutter Street, Holborn",51.515809,-0.10527
"Gloucester Road (Central), South Kensington",51.496462,-0.18328899999999998
"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963
"Braham Street, Aldgate",51.514233,-0.07353699999999999
"Little Argyll Street, West End",51.514499,-0.141423
"Lollard Street, Vauxhall",51.49288,-0.114934
"Rochester Row, Westminster",51.495827,-0.135478
"Bath Street, St. Luke's",51.525892999999996,-0.090847
"The Guildhall, Guildhall",51.515735,-0.09308000000000001
"Baker Street, Marylebone",51.518913,-0.156166
"Norton Folgate, Liverpool Street",51.521113,-0.078869
"St. John Street, Finsbury",51.52836,-0.104724
"Eaton Square, Belgravia",51.496544,-0.15090499999999998
"Borough High Street, The Borough",51.500694,-0.094524
"Museum of London, Barbican",51.517821,-0.096496
"Wood Street, Guildhall",51.517008,-0.093885
"Emperor's Gate, South Kensington",51.495362,-0.185296
"Golden Square, Soho",51.511897,-0.137043
"Tower Gardens , Tower",51.509506,-0.075459
"Eversholt Street , Camden Town",51.533005,-0.136792
"Bethnal Green Road, Shoreditch",51.523648,-0.074754
"Derry Street, Kensington",51.501364,-0.191462
"Wapping High Street, Wapping",51.504904,-0.06797
"Clerkenwell Green, Clerkenwell",51.52326,-0.104708
"Queen Victoria Street, St. Paul's",51.511961,-0.097441
"Green Street, Mayfair",51.512276,-0.157436
"Lambeth Road, Vauxhall",51.494881,-0.117974
"Finsbury Square , Moorgate",51.520962,-0.085634
"Chapel Place, Marylebone",51.515308,-0.147203
"West Cromwell Road, Earl's Court",51.493724,-0.198286
"Pont Street, Knightsbridge",51.496886,-0.16120299999999999
"Kennington Cross, Kennington",51.48894,-0.11143499999999999
"Ilchester Place, Kensington",51.500743,-0.202759
"Vauxhall Bridge , Pimlico",51.488365,-0.129361
"Portugal Street, Holborn",51.514943,-0.116146
"Tachbrook Street, Victoria",51.492111,-0.138364
"Kennington Road Post Office, Oval",51.484788,-0.11068299999999999
"Holy Trinity Brompton, Knightsbridge",51.497056,-0.16891699999999998
"Chepstow Villas, Notting Hill",51.512136,-0.20155399999999998
"Hampton Street, Walworth",51.49217,-0.101536
"Bayswater Road, Hyde Park",51.511933,-0.17441099999999998
"Waterloo Station 3, Waterloo",51.503791,-0.112824
"Lexham Gardens, Kensington",51.495866,-0.191933
"New Kent Road, The Borough",51.494436,-0.09292099999999999
"Wright's Lane, Kensington",51.500397,-0.193068
"Trebovir Road, Earl's Court",51.490853,-0.19617
"Waterloo Place, St. James's",51.506633,-0.131773
"Guildhouse Street, Victoria",51.492345,-0.141334
"Southampton Place, Holborn",51.517606,-0.12132799999999999
"Sloane Avenue, Knightsbridge",51.493184,-0.167894
"Cleveland Gardens, Bayswater",51.515607,-0.183118
"Orsett Terrace, Bayswater",51.517932,-0.183716
"Seville Street, Knightsbridge",51.501855,-0.159237
"Eccleston Place, Victoria",51.49395,-0.147624
"Kennington Station, Kennington",51.488852,-0.10559299999999999
"Red Lion Street, Holborn",51.51824,-0.11655000000000001
"Vauxhall Walk, Vauxhall",51.488124,-0.120903
"Killick Street, King's Cross",51.5338,-0.11867699999999999
"Kennington Oval, Oval",51.483145,-0.113134
"Sail Street, Vauxhall",51.495656,-0.114605
"Walmer Road, Avondale",51.510101,-0.211358
"Philpot Street, Whitechapel",51.515256,-0.058641
"Bethnal Green Garden, Bethnal Green",51.52568,-0.055312
"Cheshire Street, Bethnal Green",51.52388,-0.065076
"York Hall, Bethnal Green",51.528936,-0.055894
"Jubilee Crescent, Cubitt Town",51.493381,-0.007541999999999999
"Fisherman's Walk West, Canary Wharf",51.50623,-0.02296
"Shadwell Station, Shadwell",51.511088,-0.057158999999999995
"Jubilee Street, Stepney",51.515975,-0.053176999999999995
"Hermitage Court, Wapping",51.504719,-0.06353099999999999
"St. Katharine's Way, Tower",51.505697,-0.070542
"Garnet Street, Shadwell",51.508447,-0.055167
"Napier Avenue, Millwall",51.487679,-0.021582
"East Ferry Road, Cubitt Town",51.49447,-0.014409
"Parkway, Camden Town",51.538071,-0.144664
"Castlehaven Road, Camden Town",51.542138,-0.145393
"Wapping Lane, Wapping",51.504749,-0.057544
"Gunmakers Lane, Old Ford",51.535179,-0.03338
"Burdett Road, Mile End",51.516196,-0.029137999999999997
"Aston Street, Stepney",51.516,-0.038775
"Bonny Street, Camden Town",51.541603,-0.138853
"Thurtle Road, Haggerston",51.534776,-0.071881
"St. Mary & St. Michael Church, Stepney",51.51417,-0.052099
"Pitfield Street North,Hoxton",51.53558,-0.08249000000000001
"Whiston Road, Haggerston",51.534464,-0.07634099999999999
"Southern Grove, Bow",51.523538,-0.030556
"Cantrell Road, Bow",51.521564,-0.022694
"Lindfield Street, Poplar",51.513757,-0.020467
"Mostyn Grove, Bow",51.530535,-0.025491999999999997
"Hewison Street, Old Ford",51.533283,-0.028155
"Malmesbury Road, Bow",51.529452,-0.027615999999999998
"Millharbour, Millwall",51.496137,-0.019355
"Gascoyne Road, Victoria Park",51.541515,-0.038557
"Lightermans Road, Millwall",51.499041,-0.020156999999999998
"Stebondale Street, Cubitt Town",51.489096,-0.009205
"Spindrift Avenue, Millwall",51.49109,-0.018716
"Stepney Green Station, Stepney",51.521889,-0.04667
"Pott Street, Bethnal Green",51.527152,-0.058004999999999994
"Flamborough Street, Limehouse",51.512871,-0.038986
